171,383
174,428
181,473
188,518
203,560
229,597
262,631
301,659
347,665
391,657
424,627
453,590
475,553
487,512
491,468
495,425
496,380
203,373
222,350
253,341
285,343
317,351
365,347
397,337
428,334
457,343
473,365
341,385
343,413
344,442
345,471
314,489
329,494
345,499
360,494
374,488
243,387
260,375
283,376
300,392
282,397
259,397
380,389
398,371
420,370
436,382
423,392
401,393
282,537
306,537
327,536
343,541
361,537
382,538
403,539
383,558
362,565
343,566
325,564
304,556
293,541
327,548
344,552
362,549
392,543
361,546
343,548
326,545
