204,397
207,442
212,487
220,532
237,576
265,615
300,648
340,676
384,682
427,674
463,645
493,609
516,567
527,522
531,476
535,431
535,386
235,390
259,369
290,361
324,363
355,373
402,368
433,355
465,351
495,358
515,377
382,399
384,428
386,457
388,486
352,503
369,509
387,514
403,508
417,502
280,401
297,391
319,390
337,404
319,409
297,409
420,401
438,386
460,385
476,395
462,404
441,405
321,556
347,552
369,548
385,553
403,548
422,552
442,558
423,576
405,582
386,584
368,583
345,575
332,559
368,562
385,564
404,562
432,560
404,563
385,565
368,563
